id,name
A4D1S5,RAB19
A5D6W6,FITM1
A5PLL7,TMEM189
A5X5Y0,HTR3E
A6BM72,MEGF11
A6ND48,OR14I1
A6NF89,OR6C6
A6NHA9,OR4C46
A6NI73,LILRA5
A6NM76,OR6C76
A6NMS3,OR5K4
A6NND4,OR2AT4
A8K7I4,CLCA1
A8MQT2,GOLGA8B
A8MVW5,HEPACAM2
B0I1T2,MYO1G
O00155,GPR25
O00161,SNAP23
O00168,FXYD1
O00203,AP3B1
O00206,TLR4
O00212,RHOD
O00220,TNFRSF10A
O00237,RNF103
O00254,F2RL2
O00270,GPR31
O00294,TULP1
O00322,UPK1A
O00337,SLC28A1
O00341,SLC1A7
O00398,P2RY10
O00408,PDE2A
O00421,CCRL2
O00429,DNM1L
O00461,GOLIM4
O00469,PLOD2
O00476,SLC17A3
O00483,NDUFA4
O00522,KRIT1
O00548,DLL1
O00555,CACNA1A
O00560,SDCBP
O00562,PITPNM1
O00574,CXCR6
O00591,GABRP
O00623,PEX12
O00624,SLC17A2
O14520,AQP7
O14521,SDHD
O14522,PTPRT
O14526,FCHO1
O14579,COPE
O14610,GNGT2
O14613,CDC42EP2
O14617,AP3D1
O14626,GPR171
O14640,DVL1
O14641,DVL2
O14654,IRS4
O14669,PRRG2
O14672,ADAM10
O14678,ABCD4
O14681,EI24
O14684,PTGES
O14745,SLC9A3R1
O14756,HSD17B6
O14763,TNFRSF10B
O14764,GABRD
O14786,NRP1
O14788,TNFSF11
O14804,TAAR5
O14807,MRAS
O14817,TSPAN4
O14827,RASGRF2
O14828,SCAMP3
O14842,FFAR1
O14894,TM4SF5
O14907,TAX1BP3
O14908,GIPC1
O14910,LIN7A
O14931,NCR3
O14944,EREG
O14964,HGS
O14967,CLGN
O14975,SLC27A2
O14994,SYN3
O15027,SEC16A
O15031,PLXNB2
O15049,N4BP3
O15118,NPC1
O15121,DEGS1
O15127,SCAMP2
O15162,PLSCR1
O15197,EPHB6
O15218,GPR182
O15228,GNPAT
O15229,KMO
O15245,SLC22A1
O15258,RER1
O15260,SURF4
O15303,GRM6
O15321,TM9SF1
O15354,GPR37
O15357,INPPL1
O15374,SLC16A4
O15375,SLC16A5
O15389,SIGLEC5
O15393,TMPRSS2
O15394,NCAM2
O15399,GRIN2D
O15403,SLC16A6
O15427,SLC16A3
O15431,SLC31A1
O15438,ABCC3
O15439,ABCC4
O15440,ABCC5
O15455,TLR3
O15498,YKT6
O15503,INSIG1
O15530,PDPK1
O15547,P2RX6
O15552,FFAR2
O43150,ASAP2
O43157,PLXNB1
O43164,PJA2
O43174,CYP26A1
O43181,NDUFS4
O43184,ADAM12
O43193,MLNR
O43194,GPR39
O43264,ZW10
O43283,MAP3K13
O43286,B4GALT5
O43292,GPAA1
O43300,LRRTM2
O43306,ADCY6
O43315,AQP9
O43318,MAP3K7
O43374,RASA4
O43427,FIBP
O43493,TGOLN2
O43497,CACNA1G
O43506,ADAM20
O43525,KCNQ3
O43526,KCNQ2
O43557,TNFSF14
O43559,FRS3
O43570,CA12
O43603,GALR2
O43609,SPRY1
O43610,SPRY3
O43613,HCRTR1
O43614,HCRTR2
O43633,CHMP2A
O43653,PSCA
O43657,TSPAN6
O43678,NDUFA2
O43731,KDELR3
O43747,AP1G1
O43749,OR1F1
O43759,SYNGR1
O43760,SYNGR2
O43761,SYNGR3
O43772,SLC25A20
O43808,SLC25A17
O43813,LANCL1
O43861,ATP9B
O43868,SLC28A2
O43869,OR2T1
O43889,CREB3
O43895,XPNPEP2
O43909,EXTL3
O43914,TYROBP
O60220,TIMM8A
O60235,TMPRSS11D
O60266,ADCY3
O60279,SUSD5
O60312,ATP10A
O60331,PIP5K1C
O60353,FZD6
O60423,ATP8B3
O60431,OR1I1
O60462,NRP2
O60476,MAN1A2
O60503,ADCY9
O60512,B4GALT3
O60513,B4GALT4
O60568,PLOD3
O60609,GFRA3
O60641,SNAP91
O60664,PLIN3
O60669,SLC16A7
O60721,SLC24A1
O60725,ICMT
O60733,PLA2G6
O60741,HCN1
O60749,SNX2
O60755,GALR3
O60779,SLC19A2
O60830,TIMM17B
O60840,CACNA1F
O60883,GPR37L1
O60894,RAMP1
O60895,RAMP2
O60896,RAMP3
O60906,SMPD2
O60909,B4GALT2
O60928,KCNJ13
O60931,CTNS
O60939,SCN2B
O75015,FCGR3B
O75023,LILRB5
O75056,SDC3
O75063,FAM20B
O75078,ADAM11
O75106,AOC2
O75154,RAB11FIP3
O75192,PEX11A
O75197,LRP5
O75204,TMEM127
O75306,NDUFS2
O75311,GLRA3
O75326,SEMA7A
O75351,VPS4B
O75354,ENTPD6
O75380,NDUFS6
O75381,PEX14
O75388,GPR32
O75436,VPS26A
O75443,TECTA
O75445,USH2A
O75460,ERN1
O75473,LGR5
O75477,ERLIN1
O75487,GPC4
O75508,CLDN11
O75575,CRCP
O75578,ITGA10
O75616,ERAL1
O75674,TOM1L1
O75694,NUP155
O75695,RP2
O75712,GJB3
O75746,SLC25A12
O75751,SLC22A3
O75752,B3GALNT1
O75781,PALM
O75783,RHBDL1
O75841,UPK1B
O75843,AP1G2
O75844,ZMPSTE24
O75871,CEACAM4
O75881,CYP7B1
O75882,ATRN
O75886,STAM2
O75899,GABBR2
O75900,MMP23B
O75908,SOAT2
O75916,RGS9
O75923,DYSF
O75955,FLOT1
O75970,MPDZ
O76002,OR2J2
O76024,WFS1
O76038,SCGN
O76062,TM7SF2
O76081,RGS20
O76082,SLC22A5
O76099,OR7C1
O94759,TRPM2
O94766,B3GAT3
O94777,DPM2
O94778,AQP8
O94804,STK10
O94823,ATP10B
O94850,DDN
